TYPE_4,,,
72bd48d1-851a-4a75-875f-e9b690a7dbc5,"{115578.631707, -78137.020755, 24788.280845}","{116583.983845, -76979.736297, 25329.828999}","{115544.007386, -78105.29754, 25699.071048}"
17f7dd2f-6c9d-4bb6-bd7d-7aabfc281a93,"{108778.766127, -84849.246144, 24936.51959}","{109873.470397, -83810.814333, 25461.241178}","{108747.239957, -84814.44236, 25847.309795}"
c814e120-d011-4e5b-a725-e5d44350ca32,"{103926.049135, 88999.528059, 25083.463987}","{102749.022554, 89904.8543, 25681.61099}","{103896.525926, 88963.009761, 25994.254191}"
22ba415d-84f5-4ab7-a8ef-5ced19956be2,"{106359.318319, 86977.115164, 25005.251405}","{105207.784049, 87914.650141, 25598.148848}","{106328.796848, 86941.42699, 25916.041608}"
b83a5850-bcf0-4c0c-a2e6-c9e955f8cac0,"{108737.999621, 84886.165262, 24936.686082}","{107594.951586, 85871.232064, 25524.891434}","{108706.473451, 84851.361478, 25847.476287}"
ca032549-ab29-47e2-bc9e-7c2f2156cb75,"{111064.596724, 82723.756457, 24877.117027}","{109949.29959, 83740.208513, 25460.864331}","{111032.060677, 82689.895228, 25787.907245}"
4d409a7b-e2d0-42ae-8d19-3d874a93f5ac,"{113330.151588, 80497.687544, 24826.909606}","{112243.484734, 81544.759906, 25405.931234}","{113296.634026, 80464.798352, 25737.699853}"
62344d9f-e2e2-4247-86ab-54cde10eaca0,"{115541.4811, 78177.575076, 24788.44505}","{114476.334693, 79280.091671, 25360.996992}","{115506.856779, 78145.851862, 25699.235253}"
f4d2b8db-3e3a-40f6-9d44-2a466650b6ff,"{117686.450492, 75744.072267, 24763.393648}","{116665.266841, 76887.425969, 25329.446816}","{117650.610732, 75713.728939, 25674.183851}"
8d146176-b5c8-4c9c-b6a4-7bd02bdc64d7,"{139264.650053, 28.499947, 16827.472401}","{139338.050054, 1479.997238, 17171.092262}","{139462.058284, 28.499947, 17716.826656}"
031f3567-5cfe-4909-9252-89befada6bf4,"{139645.821714, 1570.372233, 18693.829939}","{139720.980965, 3031.618829, 19233.04135}","{139797.060834, 1571.754892, 19593.201284}"
